"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.67997648743418e-311,1.05428802406818,0.45,0.251,6.12826484452414e-307,"0","TNFSF13B"
4.79999351728407e-310,0.586543537750461,0.754,0.511,7.99342920433317e-306,"0","ATP6V0B"
4.87464172160668e-305,1.21016061621171,0.342,0.163,8.11774085899161e-301,"0","CFP"
7.66914647826118e-305,0.600589195573017,0.713,0.476,1.27714296302483e-300,"0","APLP2"
2.95958771851472e-303,0.742238435846006,0.453,0.244,4.92860142764257e-299,"0","CLEC10A"
1.30773051824143e-296,0.622522161934571,0.711,0.487,2.17776363202745e-292,"0","LAMTOR4"
1.52347779974838e-296,1.01751895490487,0.41,0.219,2.53704757992097e-292,"0","LY86"
2.54342154358927e-296,0.556267065260299,0.671,0.419,4.23555989653921e-292,"0","HLA-DMA"
5.63840755949984e-293,0.7797494223132,0.646,0.438,9.38964010883508e-289,"0","C4orf3"
1.55128826854022e-292,0.737627524369761,0.609,0.395,2.58336035360002e-288,"0","HSBP1"
7.35917140989743e-291,1.30664290633859,0.279,0.123,1.22552281489022e-286,"0","TLR2"
8.05968141022409e-289,0.564910900551768,0.837,0.636,1.34217874524462e-284,"0","ENO1"
2.14945006305053e-288,1.17174422654751,0.27,0.115,3.57947918999804e-284,"0","LAT2"
9.04642272712457e-285,0.626697551500313,0.659,0.422,1.50650077674806e-280,"0","BLVRB"
2.7663139505348e-283,0.598790680614414,0.747,0.551,4.6067426218256e-279,"0","TSPO"
1.97495903425659e-281,0.660582161158825,0.645,0.42,3.2888992797475e-277,"0","BST2"
1.68284868531878e-275,0.636648358198018,0.69,0.474,2.80244791566136e-271,"0","PSMB3"
3.99264983163901e-275,0.71611247921892,0.502,0.291,6.64895976462845e-271,"0","CSF1R"
2.94927168710899e-269,0.637738423741164,0.576,0.366,4.9114221405426e-265,"0","HCLS1"
6.20192642938606e-269,0.919632754686613,0.39,0.213,1.03280680828566e-264,"0","IFNGR1"
9.74200644256068e-269,0.981058813819747,0.399,0.22,1.62233633287963e-264,"0","PLAUR"
1.66326167216763e-263,0.770980136216783,0.604,0.418,2.76982966266076e-259,"0","DUSP1"
4.91045002487229e-262,1.20604023628327,0.57,0.389,8.17737242641982e-258,"0","ISG15"
3.03649696627746e-261,0.650061558537524,0.598,0.381,5.05667839794185e-257,"0","CTSH"
1.45679418171357e-259,0.838200196776093,0.503,0.319,2.42599935080761e-255,"0","CEBPD"
