"compartment","n_cells","mean_m2ts","mean_m1ts","mean_ctlts"
"B cell",1318,-0.244766786006135,0.0814353250150025,-0.108858595356029
"Epithelial",1562,-0.308513810660664,-0.0465349383559019,-0.197951174821775
"Mesothelial",1368,-0.118780539671876,-0.0704558069533206,-0.260363290065329
"Myeloid",26921,0.0958857289777272,-0.0144164789877774,-0.207690074745466
"Plasma",275,-0.282506677809808,-0.0207987340610722,0.123697057457455
"T/NK",15894,-0.218713757401263,0.0330058538466457,0.366320413230884
